V240001	V241172 - PRE: What does R dislike about the Democratic party [text]
141440	I think it was absolute social suicide to force Hillary to be the candidate in 2016 even when Bernie had the votes and it was clear that Bernie was the candidate who could beat Donald Trump. clearly, the DNC does not and is not focused on the daily life of Americans and what Americans actually want. I can understand that they are a political entity and they are fighting the RNC, which is very fake and just about clout so I can see why that’s the way that they angle their fight against them, but at the same time they have completely ruined or trust in the DNC and to be honest our main fault of why we have to deal with Trump at all in this election. as someone who is transgender and was a woman for 22 years of their life, I can definitely understand the great importance of Hillary Clinton being the first woman president, I know that she’s gone through a lot in her life, and I know that she’s held everything together this entire time because she wanted to be one day president and other high offices in the government. However, her personal story does not mean that everyone else has to suffer under Trump because she needs to try to be president. That was incredibly, selfish of her to not look at the numbers and not gracefully give her spot to Bernie Sanders. I would argue having a Jewish president would be historically just as ground breaking as having a woman president. The fact that she did not step aside and allow that to happen at the time that it was supposed to happen is quite inappropriate. i’m extremely tired of the bush, dynasty and Clinton dynasty, and what that means in a larger viewpoint of specific families holding so much power in our government and our daily lives. Also don’t particularly trust Democrats, as they just barely got on board with marriage equality, gender identity, transgender rights, and a real fight against police and state brutality against people in minority identity, especially people of color. It seems like historically it’s always been up to social justice activist to retain freedom and independence in this country and what do you know it’s up to us yet again.
141441	they are for abortion rights
141443	the push toward socialism and the outlandish rhetoric forced down our throats. also the fact that they have the mainstream media spewing the same
141444	They encourage people to stay on assistance instead of cutting them off and make them get jobs. [CHAR(10)][CHAR(10)](I think I misread the question a few slides back--I thought it said Democrats instead Republicans.)
141445	their move to the left and desire a socialists government
141446	No protection or rights for African Americans against police Brutality and Racism. No Protection for Americans from immigrants. we are against odds with China and Russia. a war is fen to start. we are not Safe.[CHAR(10)]
141451	they have not always come across as cohesive and have had their own issues with the far left having unreasonable expectations
141452	socialism, crushing freedom of speech, wrong economics, killing small enterprises
141453	the way they lie
141455	pro taxes increasing, pro trans rights
141456	Any term abortion, their radical followers, their voting policies
141457	I'm not sure where to start. I'll just say a lot.
141458	values
141461	I always feel that they're bringing a knife to a gun fight when they go up against This Maga movement. I don't like how strongly anti Israel the far left is and I wish they had the necessary ruthlessness to keep our country out of the hands of Donald Trump and his Maga movement.
