V240001	V241176 - PRE: What does R dislike about the Republican party [text]
142035	I don't like the fracturing of the Republicans some republicans are Democrats in disguise and they only are in the republican party to create issues. I have over the years voted Democrat and Republican, one year even Green party. Both parties need a reworking and clarify what each party stands for in this country
142043	The current Republican party is stripping individuals of their rights, promoting hate and division, and allows for policies that hurt the environment and population.
142044	the Republican Party take take and take away from the poor and give to the rich.
142045	might have Revenge approach in their action
142046	It has turned into a cult party. It's not really a party but a Trump sect
142048	liars, rapist, cowards!
142049	Doesn't believe in climate change[CHAR(10)]doesn't support abortion[CHAR(10)]controlled by a 34x convicted felon
142050	Favors the elite even though many don't know it. Too conservative on abortion rights.
142057	Tend to follow the money.
142059	The extreme right has control of the Republican party. I like what Naomi Klein writes in Doppleganger about a Mirror World" that is the rhetoric of the Republican party. This arms race of words and stories and "alternative facts" is extremely damaging and dangerous. It's damaging to individual relationships in the world, it's damaging to our sense of what is real and what to believe. I feel this problem falls squarely onto the Republican party and the media outlets that support it."
142061	I dislike the rabid disregard for basic empathy and the needs of the majority of Americans.
142062	Their views on reproductive rights, gay rights, religion
142063	They need to be more united.
142065	THEIR VIEWS OF THINKING ARE PERCEIVED AS SOMEWHAT CONFRONTATIONAL AND ASSERTIVE
142068	almost all their policies or stances on issues like abortion, lgbtqia+ rights, gun laws, etc
142069	They have turned into the party of Trump.
142070	the lack of support for trump
142072	They are mostly MAGA
142073	they need to stick to their guns, and not placate the dems.
142074	everything! republicans suck!
142077	poor partisanship, poor choice of candidates
