V240001	V241174 - PRE: What does R like about Republican party [text]
234542	fiscal conservatives and less government 
234595	fiscally conservative, better security policy, tighter immigration control, smarter international policy 
234672	They want to close the borders. [CHAR(10)]Someone has to do something our country is a HIGH CRIME, IDIOT School system, under paid teachers, but overpaid fast food employees, UNSAFE Country. [CHAR(10)]So sad. 
234678	Christian base that spews a lot of hate. Misogynistic. Lack of empathy for immigrants. 
234696	Gun and religious freedom 
234749	they stick together. they are strong believers and good at taking care of themselves 
234820	The GOP treats this nation more fairly. they make less fake promises and their foreign policies and border control make us stronger. 
234844	I like both foreign and domestic policies of the republicans. I agree that abortion should be in the control of each state. I think people should be able to send their kids to a charter school if they want. I am in favor of a strong national defense. I'm concerned about not having the oil reserves that we need. 
234862	They are on the conservative side of policies (mostly), they do have some strong leaders that call themselves Republicans, some of the people in the House (Comer, Jordan) are outspoken leaders, some excellent Senators in Cruz, Scott, Rubio. Blackburn, John Kennedy, Vance, are great leaders. They are moving in the right directions on policy and they care about the USA. 
234868	America first platform in America and Foreign policy. It must benefit the populaion first and formost 
234989	strong America. strong foreign policy. tough on criminals. 
235093	I like the fact that they believe in the government serving the people instead of the people serving the government. I like the fact that they seek to minimize government spending and stop the spread of socialism in our country and they value our constitution. 
235238	better for economy 
235244	they are not who they used to be. 
235261	they are for putting money into the economy 
235273	 Less government in our lives and to be energy independent 
235279	the way the are helping our country to be safe and secure for all Americans 
235346	they are prolife. 
235352	they are usually conservative 
235459	I support an economic plans that would create jobs in America. I support no taxation on tips for workers. 
235607	policies on finances 
235619	stricter policies on government handouts, controlling the gender insanity being promoted to children, support not allowing trans to compete in women’s’ sports, better management of the nations budget 
235660	Stronger immigration and foreign policies. 
235719	the way they stand for their people 
235725	trump is good MAGA 
235830	Economy improvement 
235835	small government 
235847	supports Christianity, fatherhood, closed boarders(minimal immigration and extreme vetting). supports police and ICE. dismantling sanctuary cities, fair taxation, reducing government size and spending. 
235859	Their approach to government. Trying to the federal gov smaller instead of growing it. 
235894	conservative view points; up hold the law; 
235911	patriotic, abiding by the constitution, moral values. concern for the nation and its citizens 
